title;artist
Gaudeamus; arr. Jaroslav Dostalík
# sbormistryně\nHana Michova
Kakva moma; Bulharská lidová
I'm Gonna Sing; arr. André van Ryckeghem
Betelehemu; Jorubská koleda

# sbormistr Jan Buriánek
Nepovím; Antonín Dvořák
Rembrandt; Zdeněk Lukáš
V Táboře na dvoře; Jiří Labuda

# Komorní ansámbl
Kaipaava; Finská lidová, arr. Jussi Chydenius 

PŘESTÁVKA

# sbormistryně\nAnnelie Kadlecová
Ej, vandrovali hudci; arr. Tereza Staňková
Hymne à la nuit; Jean-Philippe Rameau
Radioactive; Imagine Dragons
Baba Yetu; Christopher Tin

# Kvintet
Seven Bridges Road; Steve Young / The Eagles, arr. Philip Lawson
Sweet Dreams; Eurythmics
The Gambler; Don Schlitz

# sbormistr Tadeáš Petrů
Láska opravdivá; Leoš Janáček
Okolo hradišťa; Slovácká lidová
Believer; Imagine Dragons
An Irish Blessing; James E. Moore

# Společný závěr
Věno; Bedřich Smetana
